cycle: 36; nbPreys: 72; minEnergyPreys: 0.27083333333333337; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.12666666666666665; maxSizePredators: 1.0
cycle: 37; nbPreys: 70; minEnergyPreys: 0.26509803921568775; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.10666666666666665; maxSizePredators: 1.0
cycle: 38; nbPreys: 69; minEnergyPreys: 0.2513725490196093; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.08666666666666664; maxSizePredators: 1.0
cycle: 39; nbPreys: 66; minEnergyPreys: 0.24156862745098187; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.06666666666666664; maxSizePredators: 1.0
cycle: 40; nbPreys: 63; minEnergyPreys: 0.23980392156862892; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.046666666666666634; maxSizePredators: 1.0
cycle: 41; nbPreys: 61; minEnergyPreys: 0.2270588235294132; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.026666666666666634; maxSizePredators: 1.0
cycle: 42; nbPreys: 62; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 32; minEnergyPredators: 0.006666666666666633; maxSizePredators: 1.0
cycle: 43; nbPreys: 60; minEnergyPreys: 0.18921568627450966; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.19999999999999937; maxSizePredators: 1.0
cycle: 44; nbPreys: 55; minEnergyPreys: 0.17941176470588202; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.17999999999999938; maxSizePredators: 1.0
cycle: 45; nbPreys: 52; minEnergyPreys: 0.15352941176470553; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.1599999999999994; maxSizePredators: 1.0
cycle: 46; nbPreys: 51; minEnergyPreys: 0.14372549019607808; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.1399999999999994; maxSizePredators: 1.0
cycle: 47; nbPreys: 48; minEnergyPreys: 0.14196078431372514; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.1199999999999994; maxSizePredators: 1.0
cycle: 48; nbPreys: 44; minEnergyPreys: 0.1321568627450977; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.0999999999999994; maxSizePredators: 1.0
cycle: 49; nbPreys: 42; minEnergyPreys: 0.12235294117647025; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 50; nbPreys: 39; minEnergyPreys: 0.1125490196078428; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.05999999999999939; maxSizePredators: 1.0
cycle: 51; nbPreys: 37; minEnergyPreys: 0.10274509803921536; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 52; nbPreys: 34; minEnergyPreys: 0.09294117647058792; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 53; nbPreys: 32; minEnergyPreys: 0.07509803921568595; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.03999999999999983; maxSizePredators: 1.0
cycle: 54; nbPreys: 31; minEnergyPreys: 0.073333333333333; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.019999999999999827; maxSizePredators: 1.0
cycle: 55; nbPreys: 35; minEnergyPreys: 0.07960784313725458; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 56; nbPreys: 34; minEnergyPreys: 0.08588235294117616; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.1199999999999994; maxSizePredators: 1.0
cycle: 57; nbPreys: 34; minEnergyPreys: 0.09215686274509774; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.0999999999999994; maxSizePredators: 0.98
cycle: 58; nbPreys: 34; minEnergyPreys: 0.07431372549019577; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 59; nbPreys: 37; minEnergyPreys: 0.07254901960784282; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.05999999999999939; maxSizePredators: 1.0
cycle: 60; nbPreys: 36; minEnergyPreys: 0.06274509803921538; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 61; nbPreys: 34; minEnergyPreys: 0.06098039215686244; maxSizePreys: 1.0; nbPredators: 31; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 62; nbPreys: 31; minEnergyPreys: 0.0592156862745095; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.0999999999999994; maxSizePredators: 1.0
cycle: 63; nbPreys: 31; minEnergyPreys: 0.06549019607843107; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 64; nbPreys: 30; minEnergyPreys: 0.07176470588235265; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.05999999999999939; maxSizePredators: 1.0
cycle: 65; nbPreys: 29; minEnergyPreys: 0.10215686274509775; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 66; nbPreys: 31; minEnergyPreys: 0.13254901960784285; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
